 ------------------------------------------------------------------- ------------- -------- ------ ---------------------------------------------------------------------------------- 
  Name                                                                Method        Scheme   Host   Path                                                                              
  api.custom.updateapi.plugin_compatibility                           GET           ANY      ANY    /api/_action/update/plugin-compatibility                                          
  api.custom.updateapi.download_latest_update                         GET           ANY      ANY    /api/_action/update/download-latest-update                                        
  api.custom.updateapi.unpack                                         GET           ANY      ANY    /api/_action/update/unpack                                                        
  api.custom.updateapi.deactivate-plugins                             GET           ANY      ANY    /api/_action/update/deactivate-plugins                                            
  api.custom.updateapi.finish                                         GET           ANY      ANY    /api/_action/update/finish/{token}                                                
  api.action.message-queue.consume                                    POST          ANY      ANY    /api/_action/message-queue/consume                                                
  api.action.scheduled-task.run                                       POST          ANY      ANY    /api/_action/scheduled-task/run                                                   
  api.action.scheduled-task.min-run-interval                          GET           ANY      ANY    /api/_action/scheduled-task/min-run-interval                                      
  api.increment.increment                                             POST          ANY      ANY    /api/_action/increment/{pool}                                                     
  api.increment.decrement                                             POST          ANY      ANY    /api/_action/decrement/{pool}                                                     
  api.increment.list                                                  GET           ANY      ANY    /api/_action/increment/{pool}                                                     
  api.increment.reset                                                 POST          ANY      ANY    /api/_action/reset-increment/{pool}                                               
  api.action.database.sync-migration                                  POST          ANY      ANY    /api/_action/database/sync-migration                                              
  api.action.database.migrate                                         POST          ANY      ANY    /api/_action/database/migrate                                                     
  api.action.database.migrate-destructive                             POST          ANY      ANY    /api/_action/database/migrate-destructive                                         
  api.app_system.action_buttons                                       GET           ANY      ANY    /api/app-system/action-button/{entity}/{view}                                     
  api.app_system.action_button.run                                    POST          ANY      ANY    /api/app-system/action-button/run/{id}                                            
  api.app_system.modules                                              GET           ANY      ANY    /api/app-system/modules                                                           
  api.app_system.cms.blocks                                           GET           ANY      ANY    /api/app-system/cms/blocks                                                        
  api.app_system.app-url-change-strategies                            GET           ANY      ANY    /api/app-system/app-url-change/strategies                                         
  api.app_system.app-url-change-resolve                               POST          ANY      ANY    /api/app-system/app-url-change/resolve                                            
  api.app_system.app-url-difference                                   GET           ANY      ANY    /api/app-system/app-url-change/url-difference                                     
  _preview_error                                                      ANY           ANY      ANY    /_error/{code}.{_format}                                                          
  api.action.user.user-recovery                                       POST          ANY      ANY    /api/_action/user/user-recovery                                                   
  api.action.user.user-recovery.hash                                  GET           ANY      ANY    /api/_action/user/user-recovery/hash                                              
  api.action.user.user-recovery.password                              PATCH         ANY      ANY    /api/_action/user/user-recovery/password                                          
  api.action.check-email-unique                                       POST          ANY      ANY    /api/_action/user/check-email-unique                                              
  api.action.check-username-unique                                    POST          ANY      ANY    /api/_action/user/check-username-unique                                           
  api.action.snippet-set.getList                                      POST          ANY      ANY    /api/_action/snippet-set                                                          
  api.action.snippet.get.filter                                       GET           ANY      ANY    /api/_action/snippet/filter                                                       
  api.action.snippet-set.base-file                                    GET           ANY      ANY    /api/_action/snippet-set/baseFile                                                 
  api.action.snippet-set.author                                       GET           ANY      ANY    /api/_action/snippet-set/author                                                   
  api.action.attribute-set.get-relations                              GET           ANY      ANY    /api/_action/attribute-set/relations                                              
  api.action.core.system-config.check                                 GET           ANY      ANY    /api/_action/system-config/check                                                  
  api.action.core.system-config                                       GET           ANY      ANY    /api/_action/system-config/schema                                                 
  api.action.core.system-config.value                                 GET           ANY      ANY    /api/_action/system-config                                                        
  api.action.core.save.system-config                                  POST          ANY      ANY    /api/_action/system-config                                                        
  api.action.core.save.system-config.batch                            POST          ANY      ANY    /api/_action/system-config/batch                                                  
  api.action.number-range.reserve                                     GET           ANY      ANY    /api/_action/number-range/reserve/{type}/{saleschannel}                           
  api.action.number-range.preview-pattern                             GET           ANY      ANY    /api/_action/number-range/preview-pattern/{type}                                  
  store-api.info.openapi3                                             GET           ANY      ANY    /store-api/_info/openapi3.json                                                    
  store-api.info.open-api-schema                                      GET           ANY      ANY    /store-api/_info/open-api-schema.json                                             
  store-api.info.swagger                                              GET           ANY      ANY    /store-api/_info/swagger.html                                                     
  store-api.context                                                   GET           ANY      ANY    /store-api/context                                                                
  store-api.switch-context                                            PATCH         ANY      ANY    /store-api/context                                                                
  api.state_machine.states                                            GET           ANY      ANY    /api/_action/state-machine/{entityName}/{entityId}/state                          
  api.state_machine.transition_state                                  POST          ANY      ANY    /api/_action/state-machine/{entityName}/{entityId}/state/{transition}             
  store-api.currency                                                  GET|POST      ANY      ANY    /store-api/currency                                                               
  store-api.language                                                  GET|POST      ANY      ANY    /store-api/language                                                               
  store-api.salutation                                                GET|POST      ANY      ANY    /store-api/salutation                                                             
  store-api.country                                                   GET|POST      ANY      ANY    /store-api/country                                                                
  api.action.product.combinations                                     GET           ANY      ANY    /api/_action/product/{productId}/combinations                                     
